id_slug,video_url,notas
af_aula_mentor_iniciacion_office,https://www.youtube.com/watch?v=m8i4fMUCpK0,"APROBADO_PRINCIPAL - competencia: AF-BAS-003 (Operar con porcentajes, reglas de tres e importes) - curacion estricta 2026-08-05"
af_aula_mentor_nominas_seguros_sociales,https://www.youtube.com/watch?v=m8i4fMUCpK0,APROBADO_PRINCIPAL - competencia: AF-LAB-002 (Calcular y revisar una nómina) - curacion estricta 2026-08-05
af_ayuntamiento_granada_bolsas_empleo,https://www.youtube.com/watch?v=m8i4fMUCpK0,APROBADO_PRINCIPAL - competencia: AF-DIG-001 (Automatizar procesos administrativos con control) - curacion estricta 2026-08-05
af_camara_comercio_granada_entidad,https://www.youtube.com/watch?v=m8i4fMUCpK0,APROBADO_PRINCIPAL - competencia: AF-PRJ-001 (Diseñar una solución administrativa integral) - curacion estricta 2026-08-05
af_camara_contabilidad_facturacion_pymes_2026,https://www.youtube.com/watch?v=m8i4fMUCpK0,APROBADO_PRINCIPAL - competencia: AF-DIG-001 (Automatizar procesos administrativos con control) - curacion estricta 2026-08-05
dam_andalucia_orienta,https://www.youtube.com/watch?v=3GymExBkKjE,APROBADO_PRINCIPAL - competencia: DAM-ED-001 (Usar Git y un flujo de trabajo colaborativo) - curacion estricta 2026-08-05
dam_andalucia_vuela_iniciacion_programacion,https://www.youtube.com/watch?v=JOAqpdM36wI,"APROBADO_PRINCIPAL - competencia: DAM-PRO-001 (Programar con variables, decisiones y bucles) - curacion estricta 2026-08-05"
dam_android_basics_compose,https://www.youtube.com/watch?v=vJapzH_46a8,APROBADO_PRINCIPAL (sustituto de YT-ANDROID-COMPOSE-001) - competencia: DAM-MOB-001 (Crear una aplicación móvil con navegación y estado) - curacion estricta 2026-08-05
dam_android_developers_blog,https://www.youtube.com/watch?v=vJapzH_46a8,APROBADO_PRINCIPAL (sustituto de YT-ANDROID-COMPOSE-001) - competencia: DAM-MOB-001 (Crear una aplicación móvil con navegación y estado) - curacion estricta 2026-08-05
dam_android_studio,https://www.youtube.com/watch?v=vJapzH_46a8,APROBADO_PRINCIPAL (sustituto de YT-ANDROID-COMPOSE-001) - competencia: DAM-MOB-001 (Crear una aplicación móvil con navegación y estado) - curacion estricta 2026-08-05
