item_id_slug,ciclo_siglas,competencia_id,tipo_relacion,orden_preparacion,nivel_minimo_recomendado,obligatoria_para_item,motivo_relacion,ultima_revision
daw_andalucia_vuela_html_css,DAW,DAW-BAS-003,desarrolla,1,0,no,"Iniciación a la programación web con HTML y CSS se relaciona con Resolver problemas mediante algoritmos simples por su tipo, descripción o etiquetas.",2026-08-04
daw_andalucia_vuela_html_css,DAW,DAW-PRO-001,desarrolla,2,1,no,"Iniciación a la programación web con HTML y CSS se relaciona con Programar con variables, decisiones y bucles por su tipo, descripción o etiquetas.",2026-08-04
daw_andalucia_vuela_html_css,DAW,DAW-LM-002,desarrolla,3,1,no,"Iniciación a la programación web con HTML y CSS se relaciona con Presentar información de forma responsive por su tipo, descripción o etiquetas.",2026-08-04
daw_andalucia_vuela_html_css,DAW,DAW-BAS-004,desarrolla,4,0,no,"Iniciación a la programación web con HTML y CSS se relaciona con Comprender cómo funciona una aplicación conectada por su tipo, descripción o etiquetas.",2026-08-04
daw_andalucia_vuela_html_css,DAW,DAW-PRO-002,desarrolla,5,1,no,"Iniciación a la programación web con HTML y CSS se relaciona con Diseñar funciones y trabajar con colecciones por su tipo, descripción o etiquetas.",2026-08-04
daw_mdn_aprende_desarrollo_web,DAW,DAW-LM-002,desarrolla,1,1,no,"Aprende desarrollo web con MDN se relaciona con Presentar información de forma responsive por su tipo, descripción o etiquetas.",2026-08-04
daw_mdn_aprende_desarrollo_web,DAW,DAW-CLI-001,desarrolla,2,2,no,"Aprende desarrollo web con MDN se relaciona con Programar interacción con JavaScript en el navegador por su tipo, descripción o etiquetas.",2026-08-04
daw_mdn_aprende_desarrollo_web,DAW,DAW-BAS-004,desarrolla,3,0,no,"Aprende desarrollo web con MDN se relaciona con Comprender cómo funciona una aplicación conectada por su tipo, descripción o etiquetas.",2026-08-04
daw_mdn_aprende_desarrollo_web,DAW,DAW-PRO-001,desarrolla,4,1,no,"Aprende desarrollo web con MDN se relaciona con Programar con variables, decisiones y bucles por su tipo, descripción o etiquetas.",2026-08-04
daw_mdn_aprende_desarrollo_web,DAW,DAW-LM-001,desarrolla,5,1,no,"Aprende desarrollo web con MDN se relaciona con Estructurar información con lenguajes de marcas por su tipo, descripción o etiquetas.",2026-08-04
daw_microsoft_web_dev_beginners,DAW,DAW-PRO-001,desarrolla,1,1,no,"Web Development for Beginners se relaciona con Programar con variables, decisiones y bucles por su tipo, descripción o etiquetas.",2026-08-04
daw_microsoft_web_dev_beginners,DAW,DAW-BAS-004,desarrolla,2,0,no,"Web Development for Beginners se relaciona con Comprender cómo funciona una aplicación conectada por su tipo, descripción o etiquetas.",2026-08-04
daw_microsoft_web_dev_beginners,DAW,DAW-LM-001,desarrolla,3,1,no,"Web Development for Beginners se relaciona con Estructurar información con lenguajes de marcas por su tipo, descripción o etiquetas.",2026-08-04
daw_microsoft_web_dev_beginners,DAW,DAW-LM-002,desarrolla,4,1,no,"Web Development for Beginners se relaciona con Presentar información de forma responsive por su tipo, descripción o etiquetas.",2026-08-04
daw_microsoft_web_dev_beginners,DAW,DAW-ED-001,desarrolla,5,1,no,"Web Development for Beginners se relaciona con Usar Git y un flujo de trabajo colaborativo por su tipo, descripción o etiquetas.",2026-08-04
daw_react_learn,DAW,DAW-CLI-001,desarrolla,1,2,no,"Learn React se relaciona con Programar interacción con JavaScript en el navegador por su tipo, descripción o etiquetas.",2026-08-04
daw_react_learn,DAW,DAW-CLI-003,desarrolla,2,3,no,"Learn React se relaciona con Construir interfaces basadas en componentes por su tipo, descripción o etiquetas.",2026-08-04
daw_react_learn,DAW,DAW-PRO-001,desarrolla,3,1,no,"Learn React se relaciona con Programar con variables, decisiones y bucles por su tipo, descripción o etiquetas.",2026-08-04
daw_react_learn,DAW,DAW-PRO-003,desarrolla,4,2,no,"Learn React se relaciona con Aplicar programación orientada a objetos por su tipo, descripción o etiquetas.",2026-08-04
daw_react_learn,DAW,DAW-LM-002,desarrolla,5,1,no,"Learn React se relaciona con Presentar información de forma responsive por su tipo, descripción o etiquetas.",2026-08-04
